"Language Packs","Paquetes de idioma"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Atención: Su paquete de idioma no coincide con la versión de Magento. Obtenga más información <a href='%s'>aquí</a>."
"Colombia","Colômbia"
"Spanish (Colombia)","Espanhol (Colômbia)"
"Spanish language package es_CO - Community Edition (CE)","Pacote de língua espanhola es_CO - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","O pacote de idiomas <span style='color:red'>%s</span> na versão <span style='color:red'>%s</span> foi instalado com sucesso."
"On the <a href='%s'>Magento Connect page of the Spanish language pack</a>, you can find more information on the latest versions.","Na <a href='%s'>Magento Connect página do pacote de idioma espanhola</a> você pode encontrar mais informações sobre as últimas versões."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Para los interesados hay un <a href='%s'>repositorio de GitHub</a>. Se suministra con los siguientes fines:"
"Development of current language pack versions","Desarrollo de las versiones lingüísticas de corriente de carga"
"Report an error / send in patches, also happy for both published releases","Señalar un error / enviar parches, también feliz para ambas publicaciones liberados"
"Alternative Downloads (regardless of official sources)","Descargas alternativos (sin tener en cuenta las fuentes oficiales)"
"Copy / forks for their own purposes","Copiar / horquillas para sus propios fines"
"Active participation in the language pack","Participación activa en el paquete de idioma"
"View Preview versions & test","Ver y probar las versiones de vista previa"
"Note for detailed information, the README file on the GitHub page.","Nota: Para obter informações detalhadas, o arquivo LEAME/README no página GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","A fim de garantir a cobertura de tradução Magento, por favor, consulte as informações abaixo de parágrafos!"
"powered by","distribuído por"
"and","e"
"Using your own translations","Usando suas próprias traduções"
"Recommended extensions","Extensões recomendadas"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","O pacote de idiomas instalados apenas fornece traduções de textos existentes no Magento. Se você quiser preparar sua loja Magento sobre os requisitos legais na %s ou expandir os métodos de pagamento comuns, então nós recomendamos que você instale as seguintes extensões adicionais."
"Specific market adjustment for","Definindo mercado específico para"
"Colombian and Latin American stores","lojas da Colômbia e da América Latina"
"Currently not available","Indisponível no momento"
"Note: Install the extension %s, so you can use %s as a <a href='%s'>fallback language</a>.","<b>Nota:</b> Instale a extensão %s, assim você pode usar o <span style='color:red; font-weight:bold;'>%s</span> como uma <a href='%s'>segunda opção de idioma</a>."
"Note: Install the language package %s to use it as a <a href='%s'>fallback language</a>.","<b>Nota:</b> Instale o pacote de idioma %s, para o uso como uma <a href='%s'>segunda opção de idioma</a>."
"Common payment methods","Métodos de pagamento comuns"
"Debit / direct debit","Débito / débito directo"
"Cash On Delivery","Contra reembolso"
"Payment in Advance","Pago por adelantado"
"Extension Key for the","Chave de extensão para o"
"on","em"
